SEQ,NOME DO CAMPO,TIPO E TAM,Descrição/Observações
91,VAL_SP_FED,"numeric(8,2)",Valor do complemento federal de serviços profissionais. Está incluído no valor total da AIH.
92,VAL_SH_GES,"numeric(8,2)",Valor do complemento do gestor (estadual ou municipal) de serviços hospitalares. Está incluído no valor total da AIH.
93,VAL_SP_GES,"numeric(8,2)",Valor do complemento do gestor (estadual ou municipal) de serviços profissionais. Está incluído no valor total da AIH.
94,VAL_UCI,"numeric(8,2)",Valor de UCI.
95,MARCA_UCI,char(2),Tipo de UCI utilizada pelo paciente.
96,DIAGSEC1,char(4),Diagnóstico secundário1.
97,DIAGSEC2,char(4),Diagnóstico secundário 2.
98,DIAGSEC3,char(4),Diagnóstico secundário 3.
99,DIAGSEC4,char(4),Diagnóstico secundário 4.
100,DIAGSEC5,char(4),Diagnóstico secundário 5.
101,DIAGSEC6,char(4),Diagnóstico secundário 6.
102,DIAGSEC7,char(4),Diagnóstico secundário 7.
103,DIAGSEC8,char(4),Diagnóstico secundário 8.
104,DIAGSEC9,char(4),Diagnóstico secundário 9.
105,TPDISEC1,char(1),Tipo de diagnóstico secundário 1.
107,TPDISEC2,char(1),Tipo de diagnóstico secundário 2.
108,TPDISEC3,char(1),Tipo de diagnóstico secundário 3.
109,TPDISEC4,char(1),Tipo de diagnóstico secundário 4.
110,TPDISEC5,char(1),Tipo de diagnóstico secundário 5.
111,TPDISEC6,char(1),Tipo de diagnóstico secundário 6.
112,TPDISEC7,char(1),Tipo de diagnóstico secundário 7.
113,TPDISEC8,char(1),Tipo de diagnóstico secundário 8.
114,TPDISEC9,char(1),Tipo de diagnóstico secundário 9
